8710	657768	2009-01-04	Critical	42	151.35000	0.07	Express Air	8.33	3.71	1.93
16326	657768	2010-05-10	High	39	147.46000	0.06	Regular Air	14.13	3.71	1.93
59815	657768	2010-12-15	Not Specified	14	51.56000	0.09	Regular Air	-1.06	3.71	1.93
58470	657768	2011-06-08	High	13	49.08000	0.06	Regular Air	-0.31	3.71	1.93
50657	657768	2011-12-18	High	16	60.02000	0.10	Express Air	0.94	3.71	1.93
34017	293693	2009-03-23	High	20	103.39000	0.05	Express Air	29.17	4.84	0.71
26918	293693	2009-04-06	Low	16	77.96000	0.05	Regular Air	16.65	4.84	0.71
54342	293693	2009-06-08	Low	2	10.48000	0.02	Regular Air	-5.65	4.84	0.71
34275	293693	2009-07-01	Low	27	123.46000	0.07	Regular Air	26.66	4.84	0.71
4004	293693	2010-05-06	Medium	14	63.52000	0.10	Regular Air	8.66	4.84	0.71
44229	293693	2010-05-14	Medium	39	185.69000	0.02	Regular Air	50.16	4.84	0.71
13861	293693	2010-08-11	High	7	37.30000	0.00	Regular Air	5.03	4.84	0.71
46336	293693	2011-07-29	High	31	143.85000	0.10	Regular Air	34.14	4.84	0.71
39169	293693	2011-08-26	Medium	5	24.91000	0.00	Regular Air	-0.90	4.84	0.71
46662	293693	2011-12-29	Critical	33	162.00000	0.01	Regular Air	45.84	4.84	0.71
5860	293693	2012-02-19	Not Specified	12	56.73000	0.09	Regular Air	8.33	4.84	0.71
42246	293693	2012-04-26	Not Specified	5	25.31000	0.05	Regular Air	-0.50	4.84	0.71
53698	293693	2012-06-16	Medium	10	55.33000	0.00	Express Air	13.38	4.84	0.71
37473	585679	2009-10-01	Low	42	88.23000	0.10	Regular Air	-195.93	2.18	5.00
5543	585679	2010-09-24	Medium	27	67.30000	0.02	Regular Air	-115.38	2.18	5.00
2628	585679	2010-10-21	Low	14	34.59000	0.04	Regular Air	-60.13	2.18	5.00
11362	585679	2012-09-10	Low	27	63.02000	0.07	Regular Air	-119.66	2.18	5.00
3808	484597	2009-04-23	Critical	2	6.13000	0.08	Regular Air	-2.83	2.89	0.49
35300	484597	2010-03-02	Medium	10	28.81000	0.02	Regular Air	7.15	2.89	0.49
10048	114426	2009-05-15	Not Specified	21	78.57000	0.02	Regular Air	-20.65	3.68	1.32
35461	114426	2009-06-01	Critical	30	112.60000	0.04	Regular Air	-25.99	3.68	1.32
